"censusN","bed","bed.row","bed.col","previous_census_height","height.cm","previous_census_length","long.leaf.cm","survey.notes"
2,"A",46,"C",NA,3.2,NA,1.4,NA
5,"A",46,"D",NA,3,NA,2.8,NA
5,"A",48,"D",NA,10.3,NA,4.4,NA
5,"A",52,"D",NA,2.8,NA,NA,"heavily herb"
5,"A",56,"D",NA,10.4,NA,3.9,NA
4,"A",57,"B",NA,18.6,NA,1.1,NA
4,"B",12,"C",NA,1.2,NA,0.5,NA
10,"B",12,"C",NA,1.6,NA,0.4,"resprouting"
3,"C",13,"B",NA,3.6,NA,3.1,NA
3,"C",41,"C",NA,3.5,NA,0.6,NA
9,"C",43,"D",NA,2.7,NA,NA,"bare stem"
4,"D",5,"A",NA,3.8,NA,1.6,NA
4,"D",11,"C",NA,1.2,NA,2.6,"rotting"
6,"D",34,"C",NA,0.5,NA,NA,"no leaves"
8,"D",34,"D",NA,0.4,NA,NA,"no leaves"
9,"D",56,"A",NA,2.7,NA,NA,"bare stem w/ small sprout"
10,"D",58,"A",NA,0.5,NA,NA,"no leaves"
10,"E",44,"C",NA,3,NA,NA,"no alive leaves"
10,"F",4,"D",NA,0.4,NA,NA,"no leaves"
10,"F",46,"C",NA,0.4,NA,NA,"no leaves"
4,"G",25,"B",NA,6.9,NA,3.8,NA
3,"G",27,"A",NA,6.7,NA,3.6,NA
9,"H",20,"D",NA,7,NA,NA,"no alive leaves"
5,"K",2,"C",NA,2,NA,2.1,NA
4,"K",4,"A",NA,2.5,NA,0.6,NA
10,"K",4,"A",NA,0.9,NA,NA,"bare stem"
10,"K",5,"B",NA,0.9,NA,NA,"bare stem"
