survey_month,model,effect,group,term,estimate,std.error,statistic,df,p.value
aug_size,height_model_1,fixed,NA,(Intercept),1.234566136556271,0.09727566938551244,12.691417538989855,21.516030367634297,1.837489291501146e-11
aug_size,height_model_1,ran_pars,mf:parent.pop,sd__(Intercept),0.10022212366019419,NA,NA,NA,NA
aug_size,height_model_1,ran_pars,parent.pop,sd__(Intercept),0.44423468089268414,NA,NA,NA,NA
aug_size,height_model_1,ran_pars,Residual,sd__Observation,0.45985776720342675,NA,NA,NA,NA
aug_size,height_model_2,fixed,NA,(Intercept),1.9197158725005494,0.13257339019484288,14.480401155006644,19.123464432694327,9.246714325193967e-12
aug_size,height_model_2,fixed,NA,elev_m,-4.039950488999395e-4,6.970668186983985e-5,-5.795643087047254,19.208793905874032,1.3310642286443808e-5
aug_size,height_model_2,ran_pars,mf:parent.pop,sd__(Intercept),0.10190390717054443,NA,NA,NA,NA
aug_size,height_model_2,ran_pars,parent.pop,sd__(Intercept),0.2687807147747281,NA,NA,NA,NA
aug_size,height_model_2,ran_pars,Residual,sd__Observation,0.4595891669427504,NA,NA,NA,NA
aug_size,leaf_model_1,fixed,NA,(Intercept),2.9310158617125923,0.15790562363368915,18.56182062592013,21.44752418347763,1.0727846092735046e-14
aug_size,leaf_model_1,ran_pars,mf:parent.pop,sd__(Intercept),0.24391898296594922,NA,NA,NA,NA
aug_size,leaf_model_1,ran_pars,parent.pop,sd__(Intercept),0.7125357815951149,NA,NA,NA,NA
aug_size,leaf_model_1,ran_pars,Residual,sd__Observation,0.844976913008024,NA,NA,NA,NA
aug_size,leaf_model_2,fixed,NA,(Intercept),3.864806558977504,0.2613487890080371,14.787926026543218,18.96483770510612,7.277387618199499e-12
aug_size,leaf_model_2,fixed,NA,elev_m,-5.492291254889863e-4,1.3740408432793611e-4,-3.997181948232092,19.019283441820775,7.698297613592507e-4
aug_size,leaf_model_2,ran_pars,mf:parent.pop,sd__(Intercept),0.2430470367506955,NA,NA,NA,NA
aug_size,leaf_model_2,ran_pars,parent.pop,sd__(Intercept),0.5293939407486921,NA,NA,NA,NA
aug_size,leaf_model_2,ran_pars,Residual,sd__Observation,0.8451647672808282,NA,NA,NA,NA
