survey_month,model,effect,group,term,estimate,std.error,statistic,df,p.value
sept_size,height_model_1,fixed,NA,(Intercept),1.1791666715650606,0.14363484835685666,8.209474824907774,21.373562775212694,4.758575069242537e-8
sept_size,height_model_1,ran_pars,mf:parent.pop,sd__(Intercept),0.132380383677342,NA,NA,NA,NA
sept_size,height_model_1,ran_pars,parent.pop,sd__(Intercept),0.6600419665388354,NA,NA,NA,NA
sept_size,height_model_1,ran_pars,Residual,sd__Observation,0.5143636843075865,NA,NA,NA,NA
sept_size,height_model_2,fixed,NA,(Intercept),2.2493632466570284,0.17666580623790212,12.732306803207779,19.26883676509308,7.843326591768976e-11
sept_size,height_model_2,fixed,NA,elev_m,-6.3185008067858e-4,9.316213899911726e-5,-6.782262488461831,19.505052965306675,1.5446695711421618e-6
sept_size,height_model_2,ran_pars,mf:parent.pop,sd__(Intercept),0.13499697934212154,NA,NA,NA,NA
sept_size,height_model_2,ran_pars,parent.pop,sd__(Intercept),0.3592367095478817,NA,NA,NA,NA
sept_size,height_model_2,ran_pars,Residual,sd__Observation,0.5138355809314471,NA,NA,NA,NA
sept_size,leaf_model_1,fixed,NA,(Intercept),2.386306007720853,0.18792652019292058,12.69808010743312,21.973263589984168,1.3550410186477837e-11
sept_size,leaf_model_1,ran_pars,mf:parent.pop,sd__(Intercept),0,NA,NA,NA,NA
sept_size,leaf_model_1,ran_pars,parent.pop,sd__(Intercept),0.8367741926879948,NA,NA,NA,NA
sept_size,leaf_model_1,ran_pars,Residual,sd__Observation,1.0711929997142726,NA,NA,NA,NA
sept_size,leaf_model_2,fixed,NA,(Intercept),3.4618130114812264,0.31310027458076817,11.056563320222219,18.721482954279075,1.2034060981893129e-9
sept_size,leaf_model_2,fixed,NA,elev_m,-6.388942688138051e-4,1.6681068380632906e-4,-3.8300560505799233,19.703281458016914,0.0010698547734401872
sept_size,leaf_model_2,ran_pars,mf:parent.pop,sd__(Intercept),0,NA,NA,NA,NA
sept_size,leaf_model_2,ran_pars,parent.pop,sd__(Intercept),0.6340528588547043,NA,NA,NA,NA
sept_size,leaf_model_2,ran_pars,Residual,sd__Observation,1.070915039477877,NA,NA,NA,NA
