survey_month,model,effect,group,term,estimate,std.error,statistic,df,p.value
oct_size,height_model_1,fixed,NA,(Intercept),1.011040658537064,0.18975408816066014,5.328162720167803,21.362049308308322,2.6248913427267902e-5
oct_size,height_model_1,ran_pars,mf:parent.pop,sd__(Intercept),0.12588683662182926,NA,NA,NA,NA
oct_size,height_model_1,ran_pars,parent.pop,sd__(Intercept),0.8733395610394417,NA,NA,NA,NA
oct_size,height_model_1,ran_pars,Residual,sd__Observation,0.5453028601960712,NA,NA,NA,NA
oct_size,height_model_2,fixed,NA,(Intercept),2.503509355143028,0.20059932302027295,12.480148574030924,17.362785022536656,4.2274704488601253e-10
oct_size,height_model_2,fixed,NA,elev_m,-8.73793963600498e-4,1.0631920643555471e-4,-8.218589969726189,18.0109984136427,1.6584602442170776e-7
oct_size,height_model_2,ran_pars,mf:parent.pop,sd__(Intercept),0.12639041777068755,NA,NA,NA,NA
oct_size,height_model_2,ran_pars,parent.pop,sd__(Intercept),0.40618432406716437,NA,NA,NA,NA
oct_size,height_model_2,ran_pars,Residual,sd__Observation,0.5454915599404748,NA,NA,NA,NA
oct_size,leaf_model_1,fixed,NA,(Intercept),1.622301430884415,0.37333531998850944,4.345427137551161,16.482566623519197,4.6987965434475625e-4
oct_size,leaf_model_1,ran_pars,mf:parent.pop,sd__(Intercept),0,NA,NA,NA,NA
oct_size,leaf_model_1,ran_pars,parent.pop,sd__(Intercept),1.6298162382202392,NA,NA,NA,NA
oct_size,leaf_model_1,ran_pars,Residual,sd__Observation,1.2348116412196974,NA,NA,NA,NA
oct_size,leaf_model_2,fixed,NA,(Intercept),3.8502396224172504,0.4846447850747793,7.9444569321491185,10.96482161463018,7.119403561741521e-6
oct_size,leaf_model_2,fixed,NA,elev_m,-0.0013558280240881686,2.60866999964566e-4,-5.197391867397306,12.785780467031035,1.8138252536085308e-4
oct_size,leaf_model_2,ran_pars,mf:parent.pop,sd__(Intercept),0,NA,NA,NA,NA
oct_size,leaf_model_2,ran_pars,parent.pop,sd__(Intercept),0.9404132302965437,NA,NA,NA,NA
oct_size,leaf_model_2,ran_pars,Residual,sd__Observation,1.2398115869103703,NA,NA,NA,NA
