Pop.Type,loc,bed,row,col,pop,mf,rep,Genotype,block,height.cm,long.leaf.cm,herbiv.y.n,survey.notes
2023-survivor,A_6_B,A,6,B,CC,3,3,CC_3_3,A,NA,NA,NA,dead
2023-survivor,A_16_B,A,16,B,BH,3,3,BH_3_3,A,NA,NA,NA,dead
2023-survivor,A_17_A,A,17,A,BH,7,3,BH_7_3,A,38.7,5.8,Y,NA
2023-survivor,A_18_A,A,18,A,BH,4,3,BH_4_3,A,13.2,4.1,Y,no tag
2023-survivor,A_24_A,A,24,A,WL2,7,9,WL2_7_9,A,26.9,3.2,Y,NA
2023-survivor,A_32_B,A,32,B,IH,7,4,IH_7_4,B,32.5,5.4,Y,NA
2023-survivor,A_35_A,A,35,A,SC,8,4,SC_8_4,B,64.3,5.3,Y,NA
2023-survivor,A_36_A,A,36,A,BH,3,4,BH_3_4,B,19.6,4.2,Y,NA
2023-survivor,A_39_B,A,39,B,WL2,7,10,WL2_7_10,B,18.3,1.7,Y,NA
2023-survivor,A_45_B,A,45,B,IH,2,4,IH_2_4,B,42.2,7.4,Y,NA
2023-survivor,A_49_A,A,49,A,YO7,7,23,YO7_7_23,B,13.8,1.4,N,NA
2023-survivor,A_53_A,A,53,A,CC,4,4,CC_4_4,B,32.6,4,N,NA
2023-survivor,A_53_B,A,53,B,BH,7,4,BH_7_4,B,28.7,2.5,N,NA
2023-survivor,A_14_D,A,14,D,CC,8,3,CC_8_3,A,5.9,NA,NA,originally height 30+ cm / broken stem
2023-survivor,A_15_C,A,15,C,CC,1,3,CC_1_3,A,34.5,3.3,Y,NA
2023-survivor,A_17_D,A,17,D,BH,2,3,BH_2_3,A,63.4,5.8,Y,NA
2023-survivor,A_22_D,A,22,D,SC,8,3,SC_8_3,A,24.9,5.7,Y,NA
2023-survivor,A_36_C,A,36,C,SC,2,4,SC_2_4,B,52.6,5.6,Y,NA
2023-survivor,A_45_D,A,45,D,SC,4,4,SC_4_4,B,36,4.5,Y,NA
2023-survivor,A_46_D,A,46,D,SQ1,5,10,SQ1_5_10,B,9.2,3.6,Y,NA
