Pop.Type,loc,bed,row,col,pop,mf,rep,Genotype,block,elevation.group,elev_m,Lat,Long,GrwSsn_GD_Recent,GrwSsn_GD_Historical,Wtr_Year_GD_Recent,Wtr_Year_GD_Historical,Geographic_Dist,Elev_Dist,bud.date,death.date,SurvtoRep_y2
2023-survivor,A_6_B,A,6,B,CC,3,3,CC_3_3,A,Low,313,39.58597,-121.43311,0.43490172820755546,0.5097214611547519,0.4450085211577885,0.4145360922023299,132498.41828627142,1707,NA,6/18/24,0
2023-survivor,A_16_B,A,16,B,BH,3,3,BH_3_3,A,Low,511.4294422,37.40985,-119.96458,0.3604549428293177,0.3815129633506691,0.5660007888959232,0.5206930652158447,159625.59620443787,1508.5705578,NA,6/18/24,0
2023-survivor,A_17_A,A,17,A,BH,7,3,BH_7_3,A,Low,511.4294422,37.40985,-119.96458,0.3604549428293177,0.3815129633506691,0.5660007888959232,0.5206930652158447,159625.59620443787,1508.5705578,6/18/24,10/2/24,1
2023-survivor,A_18_A,A,18,A,BH,4,3,BH_4_3,A,Low,511.4294422,37.40985,-119.96458,0.3604549428293177,0.3815129633506691,0.5660007888959232,0.5206930652158447,159625.59620443787,1508.5705578,6/18/24,8/20/24,1
2023-survivor,A_24_A,A,24,A,WL2,7,9,WL2_7_9,A,High,2020.115818,38.8263,-120.25242,0.23834796265124175,0.29776019955620475,0.22560862836588205,0.24685507697635775,136.2621716836303,-0.1158179999999902,6/18/24,10/2/24,1
2023-survivor,A_32_B,A,32,B,IH,7,4,IH_7_4,B,Low,454.1298385,39.09332,-120.92114,0.45312803979930383,0.4559818192139265,0.422261684130245,0.3865157522289891,65203.39531640123,1565.8701615,6/18/24,10/2/24,1
2023-survivor,A_35_A,A,35,A,SC,8,4,SC_8_4,B,Low,421.5178299,38.41167,-120.73583000000001,0.4493119322097615,0.4471144228275997,0.49706981852766485,0.4743355233119946,62498.874631501516,1598.4821701,6/18/24,10/2/24,1
2023-survivor,A_36_A,A,36,A,BH,3,4,BH_3_4,B,Low,511.4294422,37.40985,-119.96458,0.3604549428293177,0.3815129633506691,0.5660007888959232,0.5206930652158447,159625.59620443787,1508.5705578,6/18/24,10/2/24,1
2023-survivor,A_39_B,A,39,B,WL2,7,10,WL2_7_10,B,High,2020.115818,38.8263,-120.25242,0.23834796265124175,0.29776019955620475,0.22560862836588205,0.24685507697635775,136.2621716836303,-0.1158179999999902,6/18/24,10/2/24,1
2023-survivor,A_45_B,A,45,B,IH,2,4,IH_2_4,B,Low,454.1298385,39.09332,-120.92114,0.45312803979930383,0.4559818192139265,0.422261684130245,0.3865157522289891,65203.39531640123,1565.8701615,7/2/24,10/16/24,1
2023-survivor,A_49_A,A,49,A,YO7,7,23,YO7_7_23,B,High,2469.978665,37.80903,-119.56605,0.35348538327998885,0.34322189186049695,0.3278142543551394,0.31317642544210694,128036.86977041698,-449.9786650000001,6/18/24,9/3/24,1
2023-survivor,A_53_A,A,53,A,CC,4,4,CC_4_4,B,Low,313,39.58597,-121.43311,0.43490172820755546,0.5097214611547519,0.4450085211577885,0.4145360922023299,132498.41828627142,1707,6/18/24,10/2/24,1
2023-survivor,A_53_B,A,53,B,BH,7,4,BH_7_4,B,Low,511.4294422,37.40985,-119.96458,0.3604549428293177,0.3815129633506691,0.5660007888959232,0.5206930652158447,159625.59620443787,1508.5705578,6/25/24,9/17/24,1
