survey_month,parent.pop,elev_m,N_height,mean_height.cm,sem_height.cm,N_length,mean_long.leaf.cm,sem_long.leaf.cm
aug_size,CC,313,71,7.3,0.26056740439548537,71,4.177464788732395,0.10974998445064063
aug_size,TM2,379.1526973,49,11.751020408163265,0.8668798261982767,49,2.5775510204081633,0.09396162310585898
aug_size,SC,421.5178299,59,3.8677966101694916,0.1850243744974937,59,3.6220338983050846,0.11012632342233693
aug_size,IH,454.1298385,69,6.978260869565218,0.2913491968376485,69,4.363768115942029,0.1374157265497973
aug_size,BH,511.4294422,65,5.5892307692307694,0.20273518011050248,65,4.161538461538462,0.1183356598932328
aug_size,FR,787,20,3.9,0.4105195680956922,20,2.33,0.16401219466856726
aug_size,DPR,1018.591893,52,6.128846153846154,0.24754201219463554,52,3.2346153846153847,0.12709435858169602
aug_size,WR,1158,3,4.366666666666667,0.7859884081701067,3,3.033333333333333,0.6437735971942654
aug_size,WL1,1613.837245,37,2.9297297297297296,0.18485709377270612,37,2.927027027027027,0.1553668838534392
aug_size,SQ1,1921.036585,15,2.8333333333333335,0.39275178962541757,15,2.7800000000000002,0.20912516188477498
aug_size,SQ2,1934.45122,27,2.4925925925925925,0.29317623638681084,27,2.9518518518518517,0.21379559761699818
aug_size,WL2,2020.115818,61,4.463934426229508,0.517576491994127,61,3.262295081967213,0.14059133379743272
aug_size,YO4,2157.57391,21,4.252380952380952,0.38764361686495646,21,2.947619047619048,0.182132741704799
aug_size,CP2,2244.132886,60,2.913333333333333,0.17013564987885013,60,3.025,0.11205892820222094
aug_size,CP3,2266.382201,43,2.8465116279069766,0.32891897902708905,43,2.958139534883721,0.13207738587583992
aug_size,LV3,2353.550747,11,3.1818181818181817,0.37460723232793663,11,1.8272727272727274,0.15081048256965615
aug_size,SQ3,2373.170732,18,2.15,0.25568695115993706,18,3.0722222222222224,0.23316598418316012
aug_size,YO7,2469.978665,51,2.7588235294117647,0.1579817927108786,50,2.378,0.11003858321479046
aug_size,YO8,2590.97836,38,3.586842105263158,0.23432876967877625,38,2.913157894736842,0.10721955065716073
aug_size,LV1,2593.416641,34,2.264705882352941,0.12826014902466182,34,1.7470588235294118,0.07472293375658888
aug_size,LVTR1,2741.38982,29,3.1586206896551725,0.4556032443806023,29,1.7344827586206897,0.09446190126117514
aug_size,YO11,2872.295032,51,3.1588235294117646,0.4083172206881507,50,2.444,0.08839429291763219
oct_size,CC,313,52,11.661538461538461,0.4102123373762669,52,3.1153846153846154,0.16982789210414043
oct_size,TM2,379.1526973,38,22.431578947368422,1.434943435739474,36,1.8305555555555555,0.22656228144184556
oct_size,SC,421.5178299,47,6.01063829787234,0.3680364434473778,47,3.502127659574468,0.19152944384698192
oct_size,IH,454.1298385,55,10.847272727272728,0.5303251943420213,53,4.29433962264151,0.261060346113805
oct_size,BH,511.4294422,53,7.630188679245283,0.3826952095444566,53,4.339622641509434,0.21128090283567716
oct_size,FR,787,5,2.84,0.7984985911070851,0,NA,NA
oct_size,DPR,1018.591893,33,7.096969696969697,0.48750456191503544,31,0.9548387096774194,0.13374978321175632
oct_size,WR,1158,2,6.8,5.8,1,8,NA
oct_size,WL1,1613.837245,18,2.0944444444444446,0.2518522523385256,10,0.48,0.0916515138991168
oct_size,SQ1,1921.036585,12,2.783333333333333,0.3372871569784807,10,1.01,0.22727858578307716
oct_size,SQ2,1934.45122,14,1.9357142857142857,0.38950618819685273,10,0.64,0.17776388834631177
oct_size,WL2,2020.115818,41,3.4682926829268292,0.27655191865556844,35,0.8685714285714285,0.12406093843985959
oct_size,YO4,2157.57391,12,3.1083333333333334,0.44457305588643364,6,0.4666666666666667,0.21395742047841618
oct_size,CP2,2244.132886,21,1.9190476190476191,0.20501092277742156,9,0.6222222222222222,0.3390254733864968
oct_size,CP3,2266.382201,17,1.6764705882352942,0.26353499206276665,10,0.67,0.23383279876394109
oct_size,LV3,2353.550747,5,1.06,0.38807215823864505,1,0.2,NA
oct_size,SQ3,2373.170732,8,1.375,0.21022946646802051,4,0.525,0.07499999999999998
oct_size,YO7,2469.978665,37,3.1297297297297297,0.16836365193314512,35,1.1514285714285715,0.08642006347456811
oct_size,YO8,2590.97836,12,1.9583333333333333,0.38385175747568456,5,0.24000000000000002,0.05099019513592785
oct_size,LV1,2593.416641,8,1.8625,0.3600285206956328,3,1.0666666666666667,0.48419463487779835
oct_size,LVTR1,2741.38982,10,1.55,0.42537565097739716,2,0.3,0
oct_size,YO11,2872.295032,16,1.525,0.3319764047840348,4,0.5,0.23452078799117146
sept_size,CC,313,52,8.938461538461539,0.3624863220611249,52,2.925,0.09504603155645411
sept_size,TM2,379.1526973,38,21.136842105263156,1.3378366278637817,38,2.0921052631578947,0.17683730011083323
sept_size,SC,421.5178299,48,4.68125,0.2876392085113739,48,3.575,0.1322372947683806
sept_size,IH,454.1298385,55,8.996363636363636,0.37128372840575674,55,4.216363636363637,0.15809820151511544
sept_size,BH,511.4294422,53,6.541509433962264,0.27902528304719215,53,4.532075471698113,0.1554004514983004
sept_size,FR,787,13,4.392307692307693,0.9858265787614499,11,1.4090909090909092,0.3259823044429212
sept_size,DPR,1018.591893,34,7.273529411764706,0.5436607418252216,32,2.54375,0.18227601699337115
sept_size,WR,1158,3,5.066666666666666,1.4169607537888191,3,2.9333333333333336,1.537675012622773
sept_size,WL1,1613.837245,29,2.5172413793103448,0.24069219584527196,24,2.2666666666666666,0.23718355475737143
sept_size,SQ1,1921.036585,13,2.5923076923076924,0.27114702664637796,11,2.5454545454545454,0.4003097973873454
sept_size,SQ2,1934.45122,21,2.0619047619047617,0.27761537202500247,15,2.1266666666666665,0.2456219834016465
sept_size,WL2,2020.115818,46,3.741304347826087,0.24353626810731477,42,1.9666666666666668,0.15560255912830726
sept_size,YO4,2157.57391,19,3.873684210526316,0.48352035735871723,14,2.15,0.2915947059318336
sept_size,CP2,2244.132886,44,2.534090909090909,0.1951294681014256,31,2.4161290322580644,0.2156309458806102
sept_size,CP3,2266.382201,30,2.0366666666666666,0.2326500669242258,22,2.213636363636364,0.27010463376955585
sept_size,LV3,2353.550747,8,2.55,0.33753306716316167,5,1.42,0.34985711369071804
sept_size,SQ3,2373.170732,11,1.4272727272727272,0.18930058305193267,6,1.6,0.7624521842931093
sept_size,YO7,2469.978665,38,2.707894736842105,0.16069645625178827,35,1.822857142857143,0.11250290112305746
sept_size,YO8,2590.97836,23,2.9347826086956523,0.28365267798027644,17,2.2588235294117647,0.2423929150357237
sept_size,LV1,2593.416641,18,2.055555555555556,0.23406359426086576,10,1.5,0.1699673171197595
sept_size,LVTR1,2741.38982,19,2.126315789473684,0.2784504013981326,12,1.2083333333333333,0.15396690579734362
sept_size,YO11,2872.295032,28,2.625,0.26689598275070686,22,2.227272727272727,0.350088536617631
